"","auteurs.0.prenom","date_soutenance","directeurs_these.0.prenom","president_jury.prenom","titres.fr"
"1","Grégoire",2008-06-20,"Catherine",NA,"La souveraineté en débat : experts en stratégie, politiques de non prolifération nucléaire, et organisations supranationales"
"2","Zbigniew",2008-10-06,"Patrice",NA,"Sociabilités ordinaires, réseaux sociaux et médiation des technologies de communication"
"3","Edgar Israel",2009-07-01,"Jean-Pierre","François","Réorientations et réorganisations du service public de l'énergie électrique : les cas d'Electricité de France et de Luz y Fuerza del Centro (Mexique)"
"4","Mélanie",2008-11-18,"Jean-Pierre","François","Une sociologie du licenciement au cœur des entreprises ""gagnantes"" : banalisation de la gestion des licenciements et déstabilisation du rapport au travail des cadres, managers et techniciens"
"5","Miguel",2009-10-15,"Francis",NA,"Le métro hors les murs : prolongements de lignes et évolution urbaine de la banlieue parisienne"
"6","Hélène",2009-11-09,"Frédéric de",NA,"Dissonances et convergences entre conduites du quotidien et productions de service : le cas du réseau des bureaux de poste"
"7","Leslie",2009-11-02,"Frédéric de",NA,"Mobilités et lien social : sphères privée et professionnelle à l'épreuve du quotidien"
"8","Marc",2009-10-06,"Jean-Pierre","Jacques","La rationalisation de la logistique : de la supply chain à la coopération complexe externe dans le travail"
"9","Pierre",2010-01-14,"Jean-Pierre","Serge","Intérimaires et permanents dans un même collectif : une équation impossible ?"
"10","Guillaume",2009-11-30,"Jean-Pierre","Dominique","La création de valeur par le client : de la marchandise service à la théorie du néo-surtravail"
"11","Éric",2003-01-01,"Jean-Claude",NA,"Les recompositions culturelles chez les jeunes issus de l'immigration dans une cité H. L. M."
"12","Julia",2007-01-01,"Daniel",NA,"La sensibilité écologique : de la révolte romantique à la crise écologique contemporaine : une analyse sociologique comparée du sentiment de la nature en Occident"
"13","Charles",2010-09-17,"Marnix",NA,"Décisions risquées et organisations à risques : autonomie au travail et reconnaissance sociale dans la conduite d’une industrie de process"
"14","Liza",2010-09-17,"Alia","Anne","Etrangers, Maghrébins et Corses : vers une ethnicisation des rapports sociaux ? La construction sociale, historique et politique des relations interethniques en Corse"
"15","Raphaël",2010-12-02,"Bernard","Bernard","Les débordements de la mer d'Aral : qu'apporte la sociologie de l'acteur-réseau à la sociologie du développement ?"
"16","Claire",2013-11-25,"Annette","Jean-Claude","L’institutionnalisation du recours aux opérateurs privés de placement au cœur des conflits de régulation du service public de l’emploi (2003-2011)"
"17","Ilka",2015-07-10,"Sylvie",NA,"La circulation des significations sociales de l'argent : Transferts économiques, sociaux et politiques entre le Sénégal et la France"
"18","Thomas",2014-04-03,"Thierry",NA,"Mobilités résidentielles et professionnelles des salariés en France : entreprises, marchés et territoires, une articulation en tension"
"19","Nicolas",2012-01-01,"Bruno",NA,"Avoir ou ne pas être : la constitution possessive de l'organisation"
"20","Jules",2015-12-03,"Annette","Valérie","Les expérimentations sociales en France : une sociologie de l’évaluation des politiques publiques"
"21","Marco",2013-06-21,"François","Renato Giuseppe","De la mesure du corps à la politique des corps : une histoire des sciences du travail (1880-1920)"
"22","Marie-Claire",2016-12-09,"Stéphane","Anne-Sophie","Musulman-e-s : socio-sémantique historique des usages du terme musulman et enjeux contemporains de l’ethnicisation, racisation et confessionnalisation"
"23","Lei",2014-02-11,"Dominique","Olivier","Les pratiques et les représentations des soins du corps en Chine"
"24","Marjorie",2014-12-19,"Emmanuel","Joyce","Sociologie d'un engagement mémoriel : Analyse de la permanence de l'engagement militant des mineurs de fer retraités de Lorraine à partir de récits de vie collectifs"
"25","Pierre",2013-05-29,"Alain","Stéphane","De la conversion à la guérison : puritanisme, psychothérapies, développement personnel"
"26","Marie",2016-12-12,"Bruno","Vincent de","Histoires de familles et de transmissions : une sociologie des pratiques festives"
"27","David",2017-01-18,"Olivier","Gwenaële","Manager la culture de sûreté : construction, représentations et usages de la ""culture de sûreté"" dans l’industrie nucléaire"
"28","Gérard",2013-02-05,"Pierre","Philippe","Sociologie des institutions marchandes : le cas de la mise en vente des bois publics en Lorraine"
"29","Christine",2014-01-22,"Sylvaine",NA,"Financement privé des grandes ONG internationales : quels sont les ressorts du lien entre donateurs privés et grandes ONG internationales au travers de l'argent ?"
"30","Jacques-Erick",2016-09-13,"Bruno","Alain","Le neuvième art, légitimations et dominations"
"31","Solen",2013-02-11,"Michel","Yolande","Les chômeurs et les intermédiaires de l'emploi : Une sociologie dynamique de leurs trajectoires au sein d'une Maison de l'Emploi"
"32","Julie",2015-01-19,"Michel","Olivier","Le traitement des manquements à l’obligation scolaire : enjeux et recompositions entre Éducation nationale et Protection de l'enfance."
"33","Daniel",2017-04-19,"Patrick","Stéphane","Sociologie des sans-papiers : processus d’illégalisation des migrant.e.s et expériences clandestines (Paris, Buenos Aires, Montréal)"
"34","Isaac Bolivar René",2013-03-11,"Sylvaine",NA,"Dynamiques alternatives pour l'accès au droit et à la justice dans un contexte de pauvreté : enjeux de l'état de droit, de la gouvernance et du développement durable"
"35","Van Thuat",2013-03-22,"François","Alain","Travail salarié et changement social dans le Vietnam contemporain"
"36","Mathieu",2012-12-07,"Jean-Pierre",NA,"Les ressorts du consentement serviciel dans le nouveau capitalisme commercial : l'exemple des salariés de la grande distribution"
"37","Sepideh",2011-09-19,"Anne","Nasser","Humanisation de l’espace et solidarités dans deux quartiers populaires de Téhéran et de Paris"
"38","Greethel",2016-01-14,"María-Eugenia","Carole","La religion et l’usage des méthodes contraceptives au Mexique"
"39","Angèle",2013-12-09,"Frédéric","André","Les Officiers de la Marine Marchande : un groupe professionnel dans la tempête ? : accès au métier, socialisations et carrières des élèves des écoles supérieures maritimes au début du XXIème Siècle"
"40","Nathalie",2013-01-01,"Didier",NA,"Etude des parcours de vieillissement semi-institutionnalisés : un processus individuel et institutionnel"
"41","Samir",2015-11-13,"Stéphane",NA,"Représenter les ""quartiers populaires"" ? : une socio-histoire de l'engagement électoral et partisan dans les cités d'une municipalité communiste"
