"","auteurs.0.prenom","date_soutenance","directeurs_these.0.prenom","president_jury.prenom","titres.fr"
"1","Amévor",2008-12-12,"Lise",NA,"La crise de l'école élémentaire en Afrique de l'ouest francophone et les conditions de formation, de recrutement et de travail des enseignants : analyse des cas du Bénin, du Burkina Faso et du Togo"
"2","Joëlle",2008-12-01,"Lise",NA,"Les pratiques d'enseignement des personnels universitaires dans le contexte de la massification : L'université se scolarise-t-elle ?"
"3","Fabien",2009-06-03,"Emmanuel",NA,"Les réseaux interorganisationnels dans la restauration lilloise : une approche néo-structurale du marché et des processus sociaux"
"4","Sylvia",2009-12-01,"Jean-Pierre","Gilles","Mutations de l'alimentation des jeunes migrants, originaires des Antilles Françaises, étudiants en France métropolitaine"
"5","Emilie",2009-12-17,"Jean-Pierre","Jean-Pierre","Le rôle interactionnel de la littérature jeunesse dans les politiques de socialisation gustative, hygiénique et citoyenne d’une population interculturelle et urbaine"
"6","Virginie",2009-12-01,"Jean-Pierre","Jean-Pierre","La bouffe de foire : étude de ses formes et les sociabilités qu'elle entraîne dans différentes villes"
"7","Muriel",2010-03-23,"Agnès","Pierre","Recompositions du monde artisanal et mutations urbaines au regard des mises en patrimoine et en tourisme au Maghreb et au Moyen-Orient (Fès, Istanbul, Alep)"
"8","Sabrina",2010-02-10,"Sylvette","Serge","Du plan au vécu : analyse sociologique des expérimentations de Le Corbusier et de Jean Renaudie pour l'habitat social"
"9","Emmanuel",2010-02-01,"Jean-Bruno","Patrick","Pour une sociologie des pierres : étude sociohistorique du rapport de l'homme à la pierre. L'exemple de l'édification d'un château médiéval au XXIe siècle (Guédelon, Bourgogne)"
"10","Karen",2009-09-21,"Anne Marie","Jean-Marie","Ensemble(s) pour affronter le risque pyrotechnique : étude sociologique de l’application des dispositifs de prévention des risques des établissements DGA en France"
"11","Hélène",2009-12-08,"Bernard",NA,"Du crédit à la consommation à la consommation de crédits : autonomisation d'une activité économique"
"12","Thomas",2010-09-23,"Patrick","Martine","L'imaginaire politique postmoderne : généalogie du contemporain"
"13","Éric",2010-07-06,"Jacques","Gérard","La production du body-builder : ascèse, emprise et lien sectaire"
"14","Joaquim Pedro Neto",2015-01-26,"David","Aggée Célestin","Le corps résistant du langage culturel Bantu : vers une compréhension des pratiques culturelles marginalisées de la société angolaise : le cas du mariage traditionnel Kongo"
"15","Nicolas",2012-01-01,"Stéphane",NA,"Quand la séparation tourne à l'affrontement judiciaire. . .  : de l'émergence du modèle du « bon» divorce au traitement judiciaire des séparations conflictuelles"
"16","Gérard",2014-09-26,"Jean-Michel","Dominique","Le mitard, un analyseur de la discipline pénitentiaire"
"17","Lionel",2015-04-02,"Catherine","Marc-Henry","Comprendre des vies de plus de dix ans dans la rue par une approche biographique menée dans la durée"
"18","Matthieu",2016-06-23,"Daniel","Pascal","L'extension virtuelle de la ""maison-des-hommes"" : étude des récurrences et variations au modèle classique d'appréhension et de construction de la masculinité, au vu des spécificités d'un media dématérialisant et d'un contexte de convergence culturelle"
"19","Hervé",2014-09-25,"Roland","Régine","Les rapports sociaux de sexe comme déterminant de la santé des femmes au travail : le cas empirique du ""care"" aux personnes âgées"
"20","Elodie",2014-02-13,"Éric","Jean-Paul","Le Rhin : ""projet"" local ? : les modalités d'appropriation sociale d'un espace fluvial complexe"
"21","Julia",2014-09-25,"Michel","Marion","La mobilité estudiantine française, le « study abroad » américain et le « 留学 liu xue » chinois : une étude comparative des séjours internationaux au travers des réseaux sociaux et des identifications nationales"
"22","Laetitia",2011-06-06,"Bertrand","Pascale","Par-delà ""la participation des habitants"" : pour une sociologie des épreuves de vigilance à La Duchère"
"23","Arnaud",2016-12-01,"Laurent","Christian","Militer pour la décroissance : De l'émergence d'une idéologie à sa mise en pratique"
