"";"delim";"auteurs.0.prenom";"date_soutenance";"directeurs_these.0.prenom";"president_jury.prenom";"titres.fr"
"1";",";"Kamen";2005-01-01;"Jacques";NA;"Expériences spirituelles laïques et modes de vie mystiques aux dix-neuf et vingtièmes siècles : étude descriptive et comparative, se référant à l'exemple de la Fraternité Blanche Universelle en Bulgarie et en France"
"2";",";"Seghier";2012-01-01;"Farhad";NA;"La place de la nouvelle élite politique française élue d'origine maghrébine au sein des institutions représentatives : une minorité en quête de la voie élective, entre la percée locale et le blocage national"
"3";",";"Ines";2013-01-01;"André";NA;"Du clandestin au citoyen européen : quand les immigrés portugais font figure de travailleurs (France, 1962-2012)"
"4";",";"Germán";2014-01-01;"Louis";NA;"Comprendre l'exception : la discrimination positive à l'Université en Argentine"
"5";",";"Imaine";2016-01-01;"Philippe";"Carole";"L'évolution de la consommation de cigarettes, de cannabis et d'alcools forts au cours de l'adolescence : mode de consommation et quête identitaire"
"6";",";"Cyprien";2015-01-01;"Luc";"Florent";"Les intellectuels précaires, genèses et réalités d ' une figure critique"
"7";",";"Elena";2014-01-01;"Emmanuel";NA;"Genèse et renouvellements des formes institutionnelles de la culture : une étude des conservatoires de musique et de leurs ancrages territoriaux"
"8";",";"Benoît";2011-01-01;"Patrick";NA;"Les agriculteurs biologiques et l'alternative : contribution à une anthropologie politique d'un monde paysan en devenir"
"9";",";"Candice";2013-01-01;"François";NA;"Les gouvernements locaux et la prévention de la délinquance en Argentine : une étude comparative dans deux municipalités"
"10";",";"Séverine";2016-01-01;"Bénédicte";"Michel";"Collectifs d'individualités au travail : les artistes plasticiens dans les champs de l'art contemporain à Paris et Berlin"
"11";",";"Giovanni";2019-12-16;"Laurent";"Marco";"Transformer la psychiatrie pour démocratiser la société : l'héritage de Franco Basaglia dans deux services de psychiatrie de communauté, en France et en Italie"
"12";",";"Johanna";2014-01-01;"Suzanne de";NA;"Ethnographier la précarité énergétique : au-delà de l’action publique, des mises à l’épreuve de l’habiter"
"13";",";"Fong-Ming";2016-01-01;"Claude";"Jocelyn";"Accommodements et bricolages alimentaires : le jeu entre deux univers dans une population sino-asiatique en Ile-de-France"
"14";",";"Shao-Fen";2019-06-18;"Bénédicte";"Olivier";"Enquêter sur la capacité à se soucier des autres. Le travail des aides-soignantes en institution pour personnes âgées dépendantes en France et à Taïwan."
"15";",";"Nicolas";2016-01-01;"Christian";"Pap";"Changer les habitudes ou changer les habitants ? : sociologie d'un mouvement de réforme alimentaire à La Nouvelle-Orléans, 2000-2010"
"16";",";"Caroline";2011-01-01;"Nicolas";NA;"Sous l'emprise de la folie : la restriction du champ de l'irresponsabilité psychiatrique en France (1950-2007)"
"17";",";"Arianna";2015-01-01;"Albert";NA;"La banque autrement : une ethnographie des finances alternatives"
"18";",";"Nina Jennipher";2014-01-01;"Rémy";NA;"Analyse sociologique des changements induits par le processus de privatisation dans les entreprises agro-industrielles au Gabon"
"19";",";"Marion";2011-01-01;"Serge";NA;"La souveraineté de l'Etat à l'épreuve de la construction européenne : analyse sociologique de la stratégie étatique en matière d'éloignement forcé des étrangers"
"20";",";"Cyril";2013-01-01;"Michel";NA;"État-nation et ordre politique européen : quels dilemmes entre diversité, légitimité politique et solidarité ? Essais sur les identités nationales, le nationalisme et l'intégration européenne"
"21";",";"Charlotte";2012-01-01;"Farhad";NA;"L'essor des Beaux-arts aux Émirats Arabes Unis : une analyse qualitative des discours et des pratiques des acteurs de l'art à Abou Dabi, Dubaï et Sharjah"
"22";",";"Aurite";2019-03-29;"Daniel";"François";"Silence on tourne! Incidences des interactions entre acteurs dans le cadre d'un processus creatif"
"23";",";"Lucia Ratih";2019-09-27;"Philippe";"Robert W.";"Multiculturalité imaginée : les jeunes Indonésiens en mouvement"
"24";",";"Madeline";2014-01-01;"Bénédicte";NA;"Un engagement par le travail ? : enquête sur les maraîchers biologiques des Alpes-Maritimes"
"25";",";"Marjorie";2016-01-01;"Gérard";"Bernard";"De l'animateur au créateur, du profane au sacré : socio-histoire du théâtre public français 1945-1990"
"26";",";"Serge";2013-01-01;"Ordep José";NA;"Intolérance et reconnaissance religieuse à Salvador de Bahia : le face-à-face des Eglises néopentecôtistes et des religions de matrice africaine en ce début de XXIe siècle"
"27";",";"Piero Simeone";2017-03-02;"Patrick";"Jean-Philippe";"L'héritage impensable. Conscience historique et technologies de l'identité dans la réforme éducative en Suède (1946-1980)."
"28";",";"Débora";2009-01-01;"Christian";NA;"La construction sociale de l'espace et le dépacement collectif : les diverses formes d'organisation de l'espace des secteurs populaires à Buneos Aires"
"29";",";"Benoît";2011-01-01;"Élisabeth";NA;"Le pardon à l'épreuve d'un génocide : discours et pratiques du pardon au Rwanda (1994-2006)"
"30";",";"Cyril";2009-01-01;"Christine";NA;"Pratiques, représentations et attentes masculines de contraceptions"
"31";",";"Antoine";2014-01-01;"Pierre-Michel";NA;"Le métier d’auteur dramatique : travail créateur, carrières, marché des textes"
"32";",";"Aurélie";2012-01-01;"Francis";NA;"L'agriculture à l'épreuve de l'écologisation : éléments pour une sociologie des transitions"
"33";",";"Solenne";2015-01-01;"Claude";NA;"Le «surpoids », un stigmate acceptable ? : représentations, discriminations et réappropriations des rondeurs féminines en France, en Allemagne et en Angleterre"
"34";",";"Olivia";2017-06-30;"Michel";"Jean-Michel";"La fabrique de l'homo entreprenans. Sociologie d’une politique éducative aux frontières du monde académique et du monde économique"
"35";",";"Marie-Paule";2014-01-01;"Serge";"Stéphane";"Les paradoxes de la citoyenneté : le devenir des pieds-noirs en France métropolitaine"
"36";",";"Pascal";2011-01-01;"Paul-André";NA;"Prévenir ou produire : autonomie et subordination dans la médecine du travail (France, 1970-2010)"
"37";",";"Gabriel";2012-01-01;"Geneviève";NA;"Risque du sida et structuration des sociabilités homosexuelles : analyse sociologique des normes de prévention en France, 1989-2009"
"38";",";"Lewis Ampidu";2012-01-01;"Nathalie";NA;"Entre l'État, les élites et les religions en Haïti : redécouvrir la campagne anti-superstitieuse de 1939-1942"
"39";",";"Luis Mauricio";2014-01-01;"Gisèle";NA;"L’UNESCO et la culture : construction d’une catégorie d’intervention internationale, du « développement culturel » à la « diversité culturelle »"
"40";",";"Baptiste";2011-01-01;"Dominique";NA;"Les conditions sociales de l'automutilation juvenile : une approche sociologique"
"41";",";"Marie-Victoire";2015-01-01;"Remi";"Serge";"Soulager et combattre la misère : les contradictions identitaires des associations de solidarité au prisme de la question bénévole"
"42";",";"Parfait";2013-01-01;"Daniel";NA;"Une ethnographie de la folie à Yaoundé : la rue, le politique et la clinique"
"43";",";"Jean-Marc";2015-01-01;"Gérard";"Jean-Yves";"Les lecteurs et leurs filières : sociogénèse des usages de la lecture entre le collège et l'université"
"44";",";"Joanie";2013-01-01;"Stéphane";NA;"Le marquage scolaire : une analyse ""statistique ethnographique"" des trajectoires des enfants de classes populaires à l'Ecole"
"45";",";"Agnès";2015-01-01;"Éric";"Dorota";"Les paradoxes d'une histoire sans transition : entre l'Ouest et la nation, les mobilisations gaies et lesbiennes en Pologne (1980-2010)"
"46";",";"Alice";2012-01-01;"Farhad";NA;"La peinture iranienne au XXème siècle (1911-2009) : historique, courants esthétiques et voix d'artistes. Contribution à l'étude des enjeux de l'art en Iran à l'époque contemporaine"
"47";",";"Marlène";2011-01-01;"Stéphane";NA;"La mise au travail : ethnographie des relations professionnelles dans une grande entreprise à l'actionnariat financier"
"48";",";"Alban";2011-01-01;"Rose-Marie";NA;"Les hommes dans les mouvements féministes français (1870-2010) : sociologie d'un engagement improbable"
"49";",";"Domingo";2009-01-01;"Remi";NA;"L'entreprenariat informel : le cas des marchands de tacos à Monterrey (Mexique)"
"50";",";"Hui-Yeon";2011-01-01;"Nathalie";NA;"Le « pentecôtisme coréen » à l'épreuve de la transnationalisation : le cas de l’Église du plein Evangile de Cho Yonggi"
"51";",";"Giulia";2006-01-01;"Michel";NA;"Des générations postalgériennes : discours, pratiques, recompositions identitaires"
"52";",";"Sophie";2007-01-01;"Jean";NA;"Le savoir pluriel : école, formation et savoirs locaux dans la société gourmantchée au Burkina Faso"
"53";",";"Jean-François";2008-01-01;"Gérard";NA;"Ethnographie du travail social : une économie des biens symboliques"
"54";",";"Paola";2014-01-01;"Louis";NA;"L'expérience publique des crimes politiques du passé : le cas du Chili post-dictature (1990-2004)"
"55";",";"Jean-Michel";2009-01-01;"Serge";NA;"L' intégration sociale hiérarchisée : l'exemple d'une métropole en développement : Antananarivo"
"56";",";"Yasmine";2013-01-01;"Didier";NA;"Humaniser la peine ? : ethnographie du traitement pénal en maison d'arrêt"
"57";",";"Marianne";2012-01-01;"Stéphane";NA;"Socio-histoire d'une entreprise éducative : le développement des Écoles supérieures de commerce en France (fin du XIXe siècle - 2010)"
"58";",";"Emilia";2014-01-01;"Rose-Marie";NA;"Corriger et protéger : la dynamique des réseaux réformateurs en Roumanie (1900-1950)"
"59";",";"Ruth";2009-01-01;"Simone";NA;"Le débat sur l'euthanasie et les pratiques en fin de vie en France et en Allemagne : une étude comparative"
"60";",";"Sébastien";2009-01-01;"Didier";NA;"Les économies de la prostitution : sociologie critique du tourisme sexuel en Thaïlande"
"61";",";"Samir";2014-01-01;"Jean-Louis";NA;"Les relations entre les Conseils Régionaux du Culte Musulman et les Collectivités territoriales : analyse de l’organisation locale du culte musulman et de son rapport au politique"
"62";",";"Tristan";2015-01-01;"Gisèle";"Dominique";"Une guerre des langues ? : le champ littéraire algérien pendant la «décennie noire» (1988-2003) : crise politique et consécrations transnationales"
"63";",";"Alexandra";2019-06-21;"Michel";"Sari";"« Le droit d’exister ». Étude sur l’engagement anti-confessionnalisme dans le Liban d’après-guerre"
"64";",";"Yann";2017-06-28;"Eric";"Muriel";"L'infortune des sciences sociales : sociologie d'une illégitimation scientifique récurrente"
"65";",";"Nathan";2017-06-27;"Frédéric";"Efstathios";"Repenser le capitalisme d'État : l'économie politique chinoise en perspective comparée"
"66";",";"Michael";2015-01-01;"Abigail Cope";"Frédérique";"= La culture du savoir : la construction de « l'expertise » dans les débats politiques sur le mariage et la filiation pour les couples de même sexe en France et aux États-Unis"
"67";",";"Virginie";2015-01-01;"Serge";"Claude";"Devenir adulte quand le soutien familial fait défaut : sociologie d'une jeunesse vulnérable"
"68";",";"Annelies";2016-01-01;"Estebán";"Pierre-Michel";"De l'évaluation en musique contemporaine en France et aux Etats-Unis : jurys de pairs, commandes d'œuvres et médias sociaux"
"69";",";"Ioana";2004-01-01;"Frédérique";NA;"La politique extérieure de la littérature : une sociologie de la traduction des littératures d'Europe de l'Est (1947-1989)"
"70";",";"Vassili";2005-01-01;"Afrânio";NA;"Enracinement de la littérature et anoblissement de la musique populaire : étude comparée de deux modalités de construction culturelle du Brésil (1888-1964)"
"71";",";"Antoine";2012-01-01;"Pierre-Benoît";NA;"Crédibiliser pour expertiser : le Codex Alimentarius et les comités d'experts FAO-OMS dans la production réglementaire internationale de sécurité sanitaire des aliments"
"72";",";"Nathalie";2005-01-01;"Emmanuel";NA;"Dynamiques d'usages des NTIC et identités professionnelles : le cas de France Télécom"
"73";",";"Véronique";2001-01-01;"Jean-Louis";NA;"Analyse interactionnelle des rapports sociaux de sexe et des rapports de pouvoir dans les relations sado-masochistes"
"74";",";"Okacha";2005-01-01;"Farhad";NA;"Les modes d'action et d'organisation des mouvements islamistes au Maroc (l'exemple d'Al Adl Wal Ihsan)"
"75";",";"Verónica";2004-01-01;"Danièle";NA;"Société, religion, identités : les recompositions du catholicisme dans la société urbaine en Argentine"
"76";",";"Isabel Babo";2001-01-01;"Louis";NA;"La configuration des événements publics : l'affaire Rep'ublica et les manifestations aux Açores (Portugal, 1975)"
"77";",";"Carlos";2005-01-01;"Yves";NA;"Contribution à une théorie des modèles professionnels : le cas des comptables libéraux en France et au Royaume-Uni"
"78";",";"Sokhna Selly";2005-01-01;"André";NA;"Quête du savoir et stratégies d'insertion professionnelle : parcours d'émigration des étudiants et cadres sénégalais en France, aux Etats-Unis et au Québec"
"79";",";"Maïra";2004-01-01;"Danièle";NA;"Le tango des Orixás : sociologie des religions d'origine brésilienne à Buenos Aires"
"80";",";"Armando";2002-01-01;"Michael";NA;"Le christianisme de la libération au Mexique"
"81";",";"Gábor";2003-01-01;"Jacques";NA;"L'art de l'histoire : sociologie culturelle comparée de l'image-passé : représentations de l'Histoire et de la Mémoire dans le cinéma français et hongrois (1958-2002)"
"82";",";"Agnès";2000-01-01;"Ignacy";NA;"Aménagement urbain et organisations populaires : le cas des quartiers de Belém do Para (Brésil)"
"83";",";"Mehdi";2007-01-01;"Nilüfer";NA;"La Confrérie des Aïssâwa du Maroc en milieu urbain : les pratiques rituelles et sociales du mysticisme contemporain"
"84";",";"Izabela";2006-01-01;"Jean-Michel";NA;"La production sociale des violonistes virtuoses"
"85";",";"Julia";2004-01-01;"Louis";NA;"Les formes de la sociabilité électronique : une sociologie des activités d'écriture sur internet"
"86";",";"Florence";2001-01-01;"Nicole";NA;"Le crépuscule des lieux : l'identité des Juifs de Czernowitz"
"87";",";"Nicolas";2000-01-01;"Laurent";NA;"Politique de l'informatique et de l'information : les pionniers de la nouvelle frontière électronique"
"88";",";"Claire";2003-01-01;"Jean-Louis";NA;"La construction des pratiques alimentaires face à des incertitudes multiformes, entre délégation et modulation : le cas des mangeurs bio intermittents"
"89";",";"Oumar";2006-01-01;"Olivier";NA;"Les mutations de la vie religieuse au Tadjikistan : du soufisme à l'évangélisme"
"90";",";"Michèle";2006-01-01;"Michel";NA;"Protection de l'enfance : des institutions en quête de légitimité : l'Œuvre Grancher et l'association Olga Spitzer au XXe siècle"
"91";",";"Vera da Cunha";2005-01-01;"Pierre-Michel";NA;"Comédiens et troupes de théâtre au Portugal : trajectoires professionnelles et marché du travail"
"92";",";"Abou";2001-01-01;"Jean-Claude";NA;"Appareils de socialisation et professionnalisation de la fonction animation : observation (participante) de la construction de l'image professionnelle d'animateur dans une ville de banlieue parisienne"
"93";",";"João Filipe";2004-01-01;"Dominique";NA;"Je ne suis pas raciste, mais. . .  : du ""non-racisme"" portugais aux deux racismes des portugais"
"94";",";"Louis Auguste";2005-01-01;"Monique de";NA;"Système éducatif et inégalités sociales en Haïti : le cas des écoles catholiques congrégationistes Saint Martial, Saint Louis de Bourbon et Juvénat du Sacré-Coeur"
"95";",";"Serge";2005-01-01;"Gérard";NA;"Les écoles du comédien face au ""métier"" : recrutements professionnels, classements scolaires, techniques du corps : une comparaison franco-allemande"
"96";",";"Éric";2002-01-01;"Claudine";NA;"Les politiques de l'école catholique en Afrique de l'Ouest : le cas de la Côte-d'Ivoire (1945-2000)"
"97";",";"Michel";2005-01-01;"Florence";NA;"Travail, sens et identité : une étude d'interactions semi-clandestines enusine"
"98";",";"Francesca";2005-01-01;"Nilüfer";NA;"Diversités culturelles et patrimoniales : une étude des musées au Maroc (XXIème siècle)"
"99";",";"Véronique";2000-01-01;"Monique de";NA;"La consécration en architecture : l'émergence de nouvelles élites architecturales en France"
"100";",";"Christelle";2002-01-01;"André";NA;"Éthique et identités professionnelles des ingénieurs : enquête sur les diplômés des écoles du Nord de la France"
"101";",";"Gilles";2002-01-01;"Florence";NA;"Folklore savant et folklore commercial : reconstruire la qualité des vins de Bourgogne : une sociologie économique de l'image régionale dans l'entre-deux-guerres"
"102";",";"Alice";2001-01-01;"Pierre-Michel";"Guy";"Sociologie de la décentralisation théâtrale"
"103";",";"Philippe";2009-01-01;"Élisabeth";NA;"Voix des textes, voies des corps : une sociologie du protestantisme évangélique"
"104";",";"Jordi";2004-01-01;"Hamit";NA;"Le mouvement kurde de Turquie en exil : continuités et discontinuités du nationalisme kurde sous le mandat français en Syrie et au Liban (1925-1946)"
"105";",";"Antonio A.";2006-01-01;"Georges";NA;"Les mythes de régénération dans la cyberculture : le corps et ses utopies"
"106";",";"Marie-Hélène";2002-01-01;"Gérard";NA;"Pratiques humanistes : engagements militants et investissements professionnels : trois études de cas"
"107";",";"Laurent";2004-01-01;"Jean-Louis";NA;"Des hommes entre plusieurs mondes : étude sur une situation d'exil : intellectuels français réfugiés aux Etats-Unis pendant la deuxième guerre mondiale"
"108";",";"Rachid";2012-01-01;"Nilüfer";NA;"Islam et régionalisme européen : territoire, religion et identité en Catalogne française"
"109";",";"Buket";2001-01-01;"Michel";NA;"La reconstruction de l'espace public turc par les jeunes kemalistes et islamistes"
"110";",";"Juan";2003-01-01;"Michael";NA;"Clientélisme, néo-libéralisme et résistances sociales au Mexique (1982-2000)"
"111";",";"François";2003-01-01;"Remi";NA;"Genèse et institutionnalisation du néo-libéralisme en France : (années 1930- années 1950)"
"112";",";"Julien";2012-01-01;"Laurent";NA;"Une participation éprouvante : enquêtes sur l'autogestion, le management participatif, la participation citoyenne et l'empowerment"
"113";",";"Sarah";2006-01-01;"Marie-Claire";NA;"Essai de sociologie de la mémoire : l'expression des souvenirs à travers le titre de « Juste parmi les Nations » dans le cas français : entre cadre institutionnel, politique publique et mémoire collective"
"114";",";"Maria";2005-01-01;"Gérard";NA;"La base sociale du conflit entre les basses castes (Mukkulathor) et les intouchables (Thazhthapattor) en Inde du Sud : l'exemple de l'affrontement entre Maravar et Pallar au Tamil Nadu"
"115";",";"Miguel Angel";2001-01-01;"Jean-Claude";NA;"La recomposition du champ universitaire au Mexique"
"116";",";"Christiane";2006-01-01;"Robert";NA;"Changements dans les coulisses de Brasilia : les ambiguïtés du processus de maintien de Vila Planalto (1956-2006)"
"117";",";"Jean-Robin";2005-01-01;"Robert";NA;"Le syndicalisme à l'épreuve de l'altération de la qualité du travail : analyse de deux sections syndicales de salariés du secteur tertiaire"
"118";",";"Mahnaz";2000-01-01;"Farhad";NA;"La jeunesse iranienne, une génération en crise : étude de cas les jeunes du quartier Gisha de Téhéran"
"119";",";"Emmanuel";2012-01-01;"André";NA;"Manager en dernier ressort : le travail de l'encadrement de proximité à EDF"
"120";",";"Philippe";2002-01-01;"Louis";NA;"Un nouvel ordre artistique : la ""politique des auteurs"", la Nouvelle Vague et l'invention du cinéma d'auteur (1950-1960)"
